,2,4,6,8
1000,0.04,0.033,0.041,0.05
2000,0.02,0.023,0.034,0.031
4000,0.024,0.022,0.023,0.038
6000,0.021,0.018,0.022,0.018
8000,0.024,0.012,0.02,0.0
10000,0.0,0.016,0.018,0.017
20000,0.012,0.018,0.017,0.018
