,2,4,6,8
10000,0.017,0.028,0.062,0.1
1000,0.014,0.02,0.03,0.045
20000,0.02,0.029,0.064,0.085
2000,0.026,0.013,0.028,0.041
4000,0.02,0.2,0.029,0.056
6000,0.023,0.031,0.058,0.099
8000,0.024,0.027,0.073,0.068
