,2,4,6,8
10000,0.022,0.028,0.075,0.084
1000,0.023,0.025,0.079,0.047
20000,0.021,0.028,0.064,0.095
2000,0.025,0.033,0.047,0.052
4000,0.022,0.2,0.038,0.076
6000,0.019,0.029,0.032,0.085
8000,0.024,0.027,0.042,0.09
