,2,4,6,8
10000,0.5,0.3,0.058,0.003
1000,0.001,0.029,0.001,0.001
20000,0.029,0.072,0.2,0.5
2000,0.036,0.009,0.3,0.2
4000,0.005,0.005,0.2,0.003
6000,0.017,0.3,0.07,0.006
8000,0.03,0.035,0.034,0.052
