,2,4,6,8
10000,0.02,0.038,0.058,0.086
1000,0.019,0.031,0.013,0.075
20000,0.019,0.025,0.096,0.038
2000,0.019,0.021,0.062,0.028
4000,0.021,0.031,0.036,0.094
6000,0.024,0.057,0.089,0.098
8000,0.021,0.027,0.045,0.046
