,2,4,6,8
10000,0.017,0.02,0.086,0.2
1000,0.02,0.02,0.016,0.051
20000,0.02,0.0,0.063,0.076
2000,0.0,0.02,0.054,0.2
4000,0.0,0.3,0.035,0.2
6000,0.023,0.023,0.059,0.038
8000,0.021,0.021,0.06,0.049
