,2,4,6,8
10000,0.02,0.033,0.1,0.3
1000,0.028,0.03,0.026,0.061
20000,0.021,0.025,0.09,0.2
2000,0.025,0.021,0.09,0.4
4000,0.021,0.096,0.043,0.2
6000,0.018,0.037,0.065,0.052
8000,0.021,0.027,0.051,0.08
