,2,4,6,8
10000,0.3,0.4,0.4,0.4
1000,0.4,0.3,0.3,0.4
20000,0.4,0.5,0.4,0.5
2000,0.2,0.3,0.5,0.3
4000,0.3,0.5,0.3,0.3
6000,0.3,0.4,0.4,0.4
8000,0.3,0.4,0.4,0.4
