,2,4,6,8
10000,0.091,0.3,0.071,0.3
1000,0.2,0.2,0.041,0.2
20000,0.091,0.2,0.3,0.3
2000,0.071,0.031,0.2,0.3
4000,0.041,0.4,0.2,0.5
6000,0.2,0.091,0.4,0.4
8000,0.2,0.091,0.061,0.3
